time_ms,subject_id,event,Fp1,Fp2,F3,F4,C3,C4,O1,O2
0.000000,1,Relaxed,-7.075174,-16.716997,3.191400,-14.135027,-2.917993,11.540381,14.347682,23.533645
4.000000,1,Relaxed,-8.420636,-13.304537,11.581697,-13.982817,-6.251749,8.272374,20.226346,24.353437
8.000000,1,Relaxed,-1.848730,-14.962167,12.665925,-14.003466,-2.266254,9.370249,18.840286,24.499381
12.000000,1,Relaxed,0.864132,-16.558049,11.362330,,-1.208470,5.199874,18.905902,17.290899
16.000000,1,Relaxed,5.417504,-18.153318,16.362025,-7.090384,10.961693,5.647293,21.398778,8.844462
20.000000,1,Relaxed,7.756930,-19.780533,21.586035,-5.106948,13.203145,4.363924,20.497092,-0.616848
24.000000,1,Relaxed,12.634119,-16.643932,23.451559,-5.171206,12.128072,-3.587312,16.270994,-9.590071
28.000000,1,Relaxed,9.040928,-17.452805,24.502368,-1.378687,11.191724,-5.337978,12.729707,-14.440269
32.000000,1,Relaxed,6.468328,-14.503738,24.964507,3.168241,5.910434,-13.003555,0.610737,-20.056031
36.000000,1,Relaxed,3.997886,-5.877107,16.792581,8.427866,5.759996,-11.392553,4.127492,-28.666552
40.000000,1,Relaxed,3.116185,-2.990280,12.585987,11.060213,6.751120,-12.565916,-0.963890,-38.211308
44.000000,1,Relaxed,0.709762,-1.122821,7.700615,9.615999,0.244227,-9.590482,-7.728747,-37.482992
48.000000,1,Relaxed,-0.517609,1.467020,3.755620,20.709600,-5.204832,-1.576556,-6.900234,-41.120477
52.000000,1,Relaxed,-1.667432,3.531606,0.100639,20.802701,-13.088498,-2.900385,-12.648221,-33.064960
56.000000,1,Relaxed,-0.128063,8.819035,-3.491836,22.088513,-13.036352,-7.436257,-16.708867,-32.170742
60.000000,1,Relaxed,-7.762815,8.265280,-8.536131,17.998471,-20.986134,0.629083,-18.152541,-28.592656
64.000000,1,Relaxed,-10.008710,6.077196,-14.364465,14.013397,-26.584736,7.217995,-19.372264,-19.327693
68.000000,1,Relaxed,-10.992705,3.396106,-11.981980,11.214302,-24.275465,10.913820,-21.263832,-14.276091
72.000000,1,Relaxed,-7.048493,4.321082,-14.926365,8.447447,-22.878034,15.784698,-15.822150,-9.008050
76.000000,1,Relaxed,-4.932818,-6.810269,-11.837836,7.146591,-18.523581,17.441446,-15.594617,1.408675
80.000000,1,Relaxed,-7.600679,-5.065768,-9.995502,-0.770243,-16.332749,14.236264,-7.108010,5.503735
84.000000,1,Relaxed,-10.365477,-10.541277,-6.550802,-3.619986,-16.411597,14.122637,-0.427191,10.319143
88.000000,1,Relaxed,-11.485183,-6.873687,-9.860611,-7.518935,-12.141424,14.956170,0.561252,18.972354
92.000000,1,Relaxed,-8.342086,-6.405049,-3.301988,-9.908464,-11.133644,12.599657,8.415158,21.607589
96.000000,1,Relaxed,-6.329114,-9.383468,-6.496420,-15.320528,-5.853444,8.975499,14.439896,26.884912
100.000000,1,Relaxed,-3.616936,-5.231529,-1.644918,-9.048560,-4.421333,7.487704,20.729794,25.845452
104.000000,1,Relaxed,-2.124218,-7.523566,-1.554180,-11.041965,7.153510,7.448425,25.952927,26.302114
108.000000,1,Relaxed,3.753626,-10.262197,4.539870,-7.577289,4.260683,6.452190,25.003953,21.794499
112.000000,1,Relaxed,6.853470,-2.153074,13.249218,-10.891648,6.816668,-0.004232,25.335258,21.804757
116.000000,1,Relaxed,8.822368,1.454240,11.665559,-12.498403,9.113785,-1.043591,22.889704,15.954665
120.000000,1,Relaxed,10.369713,2.880498,16.015326,-7.307357,13.703341,-8.343893,19.680943,6.353769
124.000000,1,Relaxed,8.710055,0.931862,14.995162,-12.501761,14.523667,-7.703323,12.304280,-0.585346
128.000000,1,Relaxed,9.379785,0.842116,17.733226,-5.413109,22.194709,-10.251850,13.858116,-7.616919
132.000000,1,Relaxed,7.573762,5.215133,18.563038,-3.803087,19.317398,-11.315312,9.113001,-15.860809
136.000000,1,Relaxed,5.806285,9.105406,19.798446,-2.192152,21.708395,-17.569187,3.107990,-24.425544
140.000000,1,Relaxed,2.045688,12.023520,14.272101,-0.077136,14.204870,-14.205811,-6.548549,-25.895491
144.000000,1,Relaxed,-7.809918,12.067986,9.744187,-1.491902,10.507590,-20.920745,-12.890837,-28.202451
148.000000,1,Relaxed,-10.570196,17.913627,5.701096,2.798525,7.040704,-11.384384,-17.179644,-27.604347
152.000000,1,Relaxed,-14.076309,20.193181,2.094651,2.579364,5.765674,-10.446523,-20.297387,-27.759289
156.000000,1,Relaxed,-16.003365,14.875171,-3.086936,4.890521,-4.828204,-4.083435,-20.316586,-27.523124
160.000000,1,Relaxed,-16.204600,16.316427,-3.835963,6.757072,-5.991663,3.924099,-20.223320,-24.422156
164.000000,1,Relaxed,-13.632212,16.045406,-2.654559,2.997969,-9.527840,9.320973,-20.095076,-18.129806
168.000000,1,Relaxed,-19.571470,9.561709,-5.713316,-4.262740,-11.919221,11.013534,-23.518363,-10.015183
172.000000,1,Relaxed,-17.413612,8.655260,-4.287501,-4.554266,-13.476517,16.848916,-21.009229,-5.426226
176.000000,1,Relaxed,-24.420406,2.950188,-6.268886,-11.703420,-11.408868,22.103840,-17.230562,1.768082
180.000000,1,Relaxed,-23.045443,-1.979683,-0.306475,-17.156428,-13.319381,19.893887,-11.678870,5.438844
184.000000,1,Relaxed,-22.033299,-5.955123,-3.304670,-16.500283,-5.376267,29.013100,-0.455745,10.485836
188.000000,1,Relaxed,-19.353057,-11.975323,-0.696607,-17.882332,-6.081344,26.519814,7.312173,14.778200
192.000000,1,Relaxed,-16.119200,-13.626819,-1.691411,-18.709136,-7.071946,22.876277,13.898765,19.423585
196.000000,1,Relaxed,-13.076008,-8.679958,2.492476,-12.306361,-5.434935,18.370353,19.709859,17.253814
200.000000,1,Relaxed,-13.064826,-7.283786,3.811418,-16.286502,-6.268690,16.761600,24.765833,22.565790
204.000000,1,Relaxed,-10.695188,-10.956629,2.467282,-15.815788,-1.689112,11.789702,28.943160,23.382522
208.000000,1,Relaxed,-3.916145,-6.409864,6.016596,-14.069882,-3.226119,13.770486,29.354345,21.000732
212.000000,1,Relaxed,-0.269498,-8.416567,10.062783,-7.375662,1.931821,12.090556,34.187223,11.633130
216.000000,1,Relaxed,3.477186,-7.849066,5.539554,-7.568978,7.949596,7.389958,31.835076,8.094422
